Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 10
nan,2022,nan,nan,2021.0,nan,nan,2020,nan
Net income attributable to common stockholders,$,"12,556",nan,nan,$,"5,519",nan,721
Less: Buy-out of noncontrolling interest,nan,(27,),nan,nan,(5,),31
Net income used in computing basic net income per share of common stock,nan,"12,583",nan,nan,nan,"5,524",nan,690
Less: Dilutive convertible debt,nan,(1,),nan,nan,(9,),—
Net income used in computing diluted net income per share of common stock,$,"12,584",nan,nan,$,"5,533",nan,690
