Cash Flows from Operating Activities ($B),$,Unnamed: 2,Unnamed: 4,Unnamed: 5
Revenue ($M),"127,144","136,341",7,%
Net Income/(Loss) ($M),"(1,279)","17,937",$,"19,216"
