Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Cost of revenues,$,741,$,594,$,421
Research and development,nan,689,nan,536,nan,448
"Selling, general and administrative",nan,382,nan,430,nan,"1,252"
Total,$,"1,812",$,"1,560",$,"2,121"
