2024,$,37,$.1,"1,941",$.2,"1,978"
2025,nan,4,nan,"1,663",nan,"1,667"
2026,nan,—,nan,494,nan,494
2027,nan,—,nan,276,nan,276
2028,nan,—,nan,44,nan,44
Thereafter,nan,3,nan,221,nan,224
Total,$,44,$,"4,639",$,"4,683"
