Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
nan,2022,nan,2021.0,nan,nan,2020.0,nan,nan
Automotive sales (1),$,"67,210",nan,$,"44,125",nan,$,"24,604"
Automotive regulatory credits,nan,"1,776",nan,nan,"1,465",nan,nan,"1,580"
Energy generation and storage sales,nan,"3,376",nan,nan,"2,279",nan,nan,"1,477"
Services and other,nan,"6,091",nan,nan,"3,802",nan,nan,"2,306"
Total revenues from sales and services,nan,"78,453",nan,nan,"51,671",nan,nan,"29,967"
Automotive leasing,nan,"2,476",nan,nan,"1,642",nan,nan,"1,052"
Energy generation and storage leasing,nan,533,nan,nan,510,nan,nan,517
Total revenues,$,"81,462",nan,$,"53,823",nan,$,"31,536"
