Domestic,$,"3,196",Unnamed: 0,$.1,"5,524",$.2,(130)
Noncontrolling interest and redeemable noncontrolling interest,(23),nan,31,nan,125,nan,nan
Foreign,"6,800",nan,"8,164",nan,"6,348",nan,nan
Income before income taxes,$,"9,973",nan,$,"13,719",$,"6,343"
