Money market funds,$,109,Unnamed: 0,$.1,109.1,$.2,—,Unnamed: 2,$.3,—.1,$.4,"2,188",Unnamed: 4,$.5,"2,188.1",$.6,—.2,$.7,—.3
U.S. government securities,"5,136",nan,—,nan,"5,136",—,nan,894,nan,—,894,nan,—,nan,nan,nan,nan,nan,nan
Corporate debt securities,480,nan,—,nan,480,—,nan,885,nan,—,885,nan,—,nan,nan,nan,nan,nan,nan
Certificates of deposit and time deposits,"6,996",nan,—,nan,"6,996",—,nan,"4,253",nan,—,"4,253",nan,—,nan,nan,nan,nan,nan,nan
Commercial paper,470,nan,—,nan,470,—,nan,—,nan,—,—,nan,—,nan,nan,nan,nan,nan,nan
Total,$,"13,191",nan,$,109,$,"13,082",nan,$,—,$,"8,220",nan,$,"2,188",$,"6,032",$,—
