"Weighted average shares used in computing net income per share of common stock,basic","3,174","3,130","2,959"
Add:,nan,nan,nan
Stock-based awards,298,310,292
Convertible senior notes,2,3,29
Warrants,11,32,106
"Weighted average shares used in computing net income per share of common stock, diluted","3,485","3,475","3,386"
