"October  1, 2021 through October 31, 2021","1,593,054",$,16.02,—,—.1
"November 1, 2021 through November 30, 2021","4,096,030",nan,19.69,—,—
"December 1, 2021 through December 31, 2021","373,535",nan,20.28,—,—
Total / Average,"6,062,619",$,18.76,—,—
