Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
nan,2022,nan,2021.0,nan,nan,2020.0,nan,nan
Operating lease expense:,nan,nan,nan,nan,nan,nan,nan,nan
Operating lease expense (1),$,798,nan,$,627,nan,$,451.0
Finance lease expense:,nan,nan,nan,nan,nan,nan,nan,nan
Amortization of leased assets,$,493,nan,$,415,nan,$,348.0
Interest on lease liabilities,nan,72,nan,nan,89,nan,nan,100.0
Total finance lease expense,$,565,nan,$,504,nan,$,448.0
Total lease expense,$,"1,363",nan,$,"1,131",nan,$,899.0
