Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
nan,2022.0,nan,2021.0,nan,nan,2020.0,nan,nan,nan
Domestic,nan,"5,524",nan,$,(130,nan,$,(198,)
Noncontrolling interest and redeemable noncontrolling interest,nan,31,nan,nan,125,nan,nan,141,nan
Foreign,nan,"8,164",nan,nan,"6,348",nan,nan,"1,211",nan
Income before income taxes,nan,"13,719",nan,$,"6,343",nan,$,"1,154",nan
