Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 24,Unnamed: 25
(Dollars in millions),2022,nan,2021.0,nan,nan,2020.0,nan,$,%,nan,nan,$,nan,%,nan,nan,nan,nan,nan
Net income attributable to noncontrolling interests and redeemable noncontrolling interests in subsidiaries,$,31.0,nan,$,125.0,nan,$,141,$,(94,),nan,(75,),$,(16,),(11,)
