in euro thousand,2022,2021
Salaries & social security charges,"(1,191)","(1,108)"
Pension costs – defined contribution plan,(76),(81)
Advisory & audit cost,(298),(290)
Other miscellaneous income & expenses,(263),(274)
Total,"(1,828)","(1,753)"
