United States,$,"45,235",Unnamed: 1,"40,553",$.1,"23,973"
China,"21,745",nan,"18,145","13,844",nan,nan
Other international,"29,793",nan,"22,764","16,006",nan,nan
Total,$,"96,773",nan,"81,462",$,"53,823"
