Market Share (%)5.8%5.1%(0.6) ppts
"Wholesale Units (000)4,1873,942(245)"
"Revenue ($M)$115,894$126,150$10,256"
"EBIT ($M)1,7067,3975,691"
EBIT Margin (%)1.5%5.9%4.4 ppts
