Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
2022,PwC Accountants,Other PwC,Total PwC
in euro thousand,N.V.,network,network
Audit of the financial statements,(234),-,(234)
Other audit services,(42),(78),(120)
Tax services,-,-,-
Other non-audit services,-,-,-
Total,(276),(78),(354)
2021,PwC Accountants,Other PWC,Total PWC
in euro thousand,N.V.,network,network
Audit of the financial statements,(227),-,(227)
Other audit services,(60),(79),(139)
Tax services,-,-,-
Other non-audit services,-,-,-
Total,(287) -,(79),(366)
