Europe,$,(530),Unnamed: 1,$.1,(151)
India,(468),nan,(298),nan,nan
South America,(803),nan,53,nan,nan
China (including Taiwan),150,nan,(380),nan,nan
North America,(72),nan,(198),nan,nan
Other,3,nan,7,nan,nan
Subtotal Global Redesign,$,"(1,720)",nan,$,(967)
