Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24
(Dollars in millions),2022,nan,2021.0,nan,nan,2020.0,nan,$,%,nan,$,nan,%,nan,nan,nan
Provision for income taxes,$,"1,132",nan,$,699.0,nan,$,292,$,43.0,nan,6.0,nan,$,40.0,139.0
Effective tax rate,nan,8,nan,nan,11.0,nan,nan,25,nan,nan,nan,nan,nan,nan,nan,nan
