Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
nan,2022,nan,2021.0,nan,nan
Raw materials,$,"6,137",nan,$,"2,816"
Work in process,nan,"2,385",nan,nan,"1,089"
Finished goods (1),nan,"3,475",nan,nan,"1,277"
Service parts,nan,842,nan,nan,575
Total,$,"12,839",nan,$,"5,757"
