Market Share (%),5.1,Unnamed: 1,5.0,%,Unnamed: 3,(0.1) ppts,Unnamed: 6
Wholesale Units (000),"3,942",nan,"4,231",nan,nan,289,nan
Revenue ($M),$,"126,150",nan,nan,"148,980",nan,"22,830"
EBIT ($M),"7,397",nan,"9,692",nan,nan,"2,295",nan
EBIT Margin (%),5.9,nan,6.5,%,nan,0.6 ppts,nan
