Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
(Dollars in millions),2022,nan,nan,2021.0,nan,nan,2020,nan,nan,nan
Net cash provided by operating activities,$,"14,724",nan,nan,$,"11,497",nan,$,"5,943",nan
Net cash used in investing activities,$,"(11,973",),nan,$,"(7,868",),$,"(3,132",)
Net cash (used in) provided by financing activities,$,"(3,527",),nan,$,"(5,203",),$,"9,973",nan
