Europe,$,(727),Unnamed: 1,$.1,(530)
India,(23),nan,(468),nan,nan
South America,"(2,486)",nan,(803),nan,nan
Russia,18,nan,5,nan,nan
China (including Taiwan),(56),nan,150,nan,nan
Separations and Other (not included above),(94),nan,(74),nan,nan
Subtotal Global Redesign,$,"(3,368)",nan,$,"(1,720)"
