2024,$,37,Unnamed: 0,$.1,"1,941",$.2,"1,978"
2025,4,nan,"1,663",nan,"1,667",nan,nan
2026,—,nan,494,nan,494,nan,nan
2027,—,nan,276,nan,276,nan,nan
2028,—,nan,44,nan,44,nan,nan
Thereafter,3,nan,221,nan,224,nan,nan
Total,$,44.0,nan,$,"4,639",$,"4,683"
