Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 10
nan,2022.0,nan,2021.0,nan,2020.0,nan
"Weighted average shares used in computing net income per share of common stock, basic",nan,"3,130",nan,"2,95",nan,"2,798"
Add:,nan,nan,nan,nan,nan,nan
Stock-based awards,nan,310,nan,29,nan,198
Convertible senior notes,nan,3,nan,2,nan,141
Warrants,nan,32,nan,10,nan,112
"Weighted average shares used in computing net income per share of common stock, diluted",nan,"3,475",nan,"3,38",nan,"3,249"
