Cash,$,"13,965",Unnamed: 0,$.1,—,$.2,—.1,Unnamed: 2,$.3,"13,965.1",$.4,"13,965.2",$.5,—.2
Money market funds,"2,188",nan,—,nan,—,"2,188",nan,"2,188",nan,—,nan,nan,nan,nan
U.S. government securities,897,nan,—,nan,(3),894,nan,—,nan,894,nan,nan,nan,nan
Corporate debt securities,907,nan,—,nan,(22),885,nan,—,nan,885,nan,nan,nan,nan
Certificates of deposit and time deposits,"4,252",nan,1,nan,—,"4,253",nan,100,nan,"4,153",nan,nan,nan,nan
"Total cash, cash equivalents and short-term investments",$,"22,209",nan,$,1,$,(25),nan,$,"22,185",$,"16,253",$,"5,932"
