Total Net Receivables ($B)$132$118(11)%,Unnamed: 1,Unnamed: 3,Unnamed: 5
Loss-to-Receivables (bps) (a)366(30),nan,nan,nan
"Auction Values (b)$20,600$25,80025 %",nan,nan,nan
"EBT ($M)2,6084,717$2,109",nan,nan,nan
ROE (%) (c),15 %,32 %,17 ppts
