Total Net Receivables ($B)$118$122$5,Unnamed: 0,Unnamed: 2,Unnamed: 4
Loss-to-Receivables (bps) (a)6148,nan,nan,nan
"Auction Values (b)$30,785$32,4105 %",nan,nan,nan
"EBT ($M)4,7172,657$(2,060)",nan,nan,nan
ROE (%),32 %,16 %,(16) ppts
