Assets,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Current assets,nan,nan,nan,nan
Cash and cash equivalents,$,68,$,87
"Accounts receivable, net",nan,22,nan,24
Prepaid expenses and other current assets,nan,274,nan,152
Total current assets,nan,364,nan,263
"Solar energy systems, net",nan,"4,060",nan,"4,515"
Other non-current assets,nan,404,nan,276
Total assets,$,"4,828",$,"5,054"
Liabilities,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan
Accrued liabilities and other,$,69,$,74
Deferred revenue,nan,10,nan,11
Current portion of debt and finance leases,nan,"1,013",nan,"1,031"
Total current liabilities,nan,"1,092",nan,"1,116"
"Deferred revenue, net of current portion",nan,149,nan,161
"Debt and finance leases, net of current portion",nan,971,nan,"2,093"
Other long-term liabilities,nan,3,nan,11
Total liabilities,$,"2,215",$,"3,381"
