Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
nan,2022,nan,2021.0,nan,nan
Automotive,$,"10,996",nan,$,"4,978"
Energy generation and storage,nan,"1,843",nan,nan,779
Total,$,"12,839",nan,$,"5,757"
