Cash Flows from Operating Activities ($B),$,Unnamed: 2,Unnamed: 4,Unnamed: 5
Revenue ($M),"136,341","158,057",16,%
Net Income/(Loss) ($M),"17,937","(1,981",$,"(19,918"
