Pension Funded Status ($B),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
U.S. Plans,$,1.0,$,0.1,$,(0.9)
Non-U.S. Plans,nan,(1.3),nan,(0.3),nan,1.0
Total Global Pension,$,(0.3),$,(0.2),$,0.1
Year-End Discount Rate (Weighted Average),nan,nan,nan,nan,nan,nan
U.S. Plans,nan,2.91 %,nan,5.51 %,nan,2.60 ppts
Non-U.S. Plans,nan,1.75 %,nan,4.42 %,nan,2.67 ppts
Actual Asset Returns,nan,nan,nan,nan,nan,nan
U.S. Plans,nan,2.82 %,nan,(21.20)%,nan,(24.02) ppts
Non-U.S. Plans,nan,2.69 %,nan,(25.40)%,nan,(28.09) ppts
