Market Share (%),5.8,Unnamed: 1,5.1,%,Unnamed: 3,(0.6) ppts,Unnamed: 6
Wholesale Units (000),"4,187",nan,"3,942",nan,nan,(245),nan
Revenue ($M),$,"115,894",nan,nan,"126,150",nan,"10,256"
EBIT ($M),"1,706",nan,"7,397",nan,nan,"5,691",nan
EBIT Margin (%),1.5,nan,5.9,%,nan,4.4 ppts,nan
