Market Share (%),2.6,%,2.1,%.1,Unnamed: 2,(0.5) ppts,Unnamed: 5
Wholesale Units (000),81,nan,83.0,nan,nan,2,nan
Revenue ($M),$,"2,399",nan,$,"3,096",nan,697.0
EBIT ($M),(121,nan,413.0,nan,nan,534,nan
EBIT Margin (%),(5.1,%,13.4,%,nan,18.5 ppts,nan
