Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,2021 vs. 2020 Change,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 21
(Dollars in millions),2022,nan,2021.0,nan,nan,2020,nan,$,%,nan,$,nan,%,nan,nan,nan
Restructuring and other,$,176.0,nan,$,(27,),$,—,nan,203.0,nan,Not meaningful,nan,$,(27,Not meaningful
