Accrued purchases (1),$,"2,721",Unnamed: 0,$.1,"2,747"
"Accrued warranty reserve, current portion","1,546",nan,"1,025",nan,nan
Payroll and related costs,"1,325",nan,"1,026",nan,nan
Taxes payable (2),"1,204",nan,"1,235",nan,nan
Customer deposits,876,nan,"1,063",nan,nan
"Operating lease liabilities, current portion",672,nan,485,nan,nan
"Sales return reserve, current portion",219,nan,270,nan,nan
Other current liabilities,517,nan,354,nan,nan
Total,$,"9,080",nan,$,"8,205"
