Market Share (%),6.2,%,2.6,%.1,Unnamed: 2,(3.7) ppts,Unnamed: 5
Wholesale Units (000),185,nan,81,nan,nan,(104),nan
Revenue ($M),$,"2,463",nan,$,"2,399",nan,(64)
EBIT ($M),(490,nan,(121,nan,nan,369,nan
EBIT Margin (%),(19.9,%,(5.1,%,nan,14.8 ppts,nan
