Market Share (%),1.7,%,1.8,Unnamed: 2,Unnamed: 3,— ppts,Unnamed: 6
Wholesale Units (000) (a),284,nan,315.0,nan,nan,31,nan
Revenue ($M),$,"7,541",nan,$,"8,955",nan,"1,414"
EBIT ($M),(164,nan,622.0,nan,nan,786,nan
EBIT Margin (%),(2.2,%,6.9,nan,nan,9.1 ppts,nan
