Unnamed: 0,Unnamed: 1,2022,Unnamed: 2,2021,Unnamed: 3,2020
Automotive sales (1),$,"67,210",$,"44,125",$,"24,604"
Automotive regulatory credits,nan,"1,776",nan,"1,465",nan,"1,580"
Energy generation and storage sales,nan,"3,376",nan,"2,279",nan,"1,477"
Services and other,nan,"6,091",nan,"3,802",nan,"2,306"
Total revenues from sales and services,nan,"78,453",nan,"51,671",nan,"29,967"
Automotive leasing,nan,"2,476",nan,"1,642",nan,"1,052"
Energy generation and storage leasing,nan,533,nan,510,nan,517
Total revenues,$,"81,462",$,"53,823",$,"31,536"
