Market Share (%),6.4,%,6.5,Unnamed: 2,Unnamed: 3,0.1 ppts,Unnamed: 6
Wholesale Units (000) (a),891,nan,"1,014",nan,nan,123,nan
Revenue ($M),$,"24,466",nan,$,"25,578",nan,"1,112"
EBIT ($M),(154,nan,47,nan,nan,201,nan
EBIT Margin (%),(0.6,%,0.2,nan,nan,0.8 ppts,nan
