Raw materials,$,"5,390",Unnamed: 0,$.1,"6,137"
Work in process,"2,016",nan,"2,385",nan,nan
Finished goods (1),"5,049",nan,"3,475",nan,nan
Service parts,"1,171",nan,842,nan,nan
Total,$,"13,626",nan,$,"12,839"
