Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
nan,2022,nan,2021.0,nan,nan
Operating lease liabilities,$,"2,164",nan,$,"1,671"
Accrued warranty reserve,nan,"2,480",nan,nan,"1,398"
Sales return reserve,nan,51,nan,nan,133
Deferred tax liability,nan,82,nan,nan,24
Other non-current liabilities,nan,553,nan,nan,320
Total other long-term liabilities,$,"5,330",nan,$,"3,546"
