Gross lease receivables,$,780,$.1,837
Unearned interest income,nan,(78),nan,(95)
Allowance for expected credit losses,nan,(6),nan,(4)
Net investment in sales-type leases,$,696,$,738
Reported as:,nan,nan,nan,nan
Prepaid expenses and other current assets,$,189,$,164
Other non-current assets,nan,507,nan,574
Net investment in sales-type leases,$,696,$,738
