Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24
(Dollars in millions),2022,nan,2021.0,nan,nan,2020.0,nan,$,%,nan,$,nan,%,nan,nan,nan
Interest income,$,297.0,nan,$,56.0,nan,$,30,$,241.0,nan,430.0,nan,$,26.0,87.0
