Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7
"704,549","775,308","15,932,855","15,796,369"
"5,664,099","1,184,039","11,799,040","2,386,859"
"4,247,524","908,268","9,243,596",–
–,–,"180,358","180,358"
