Gain/(loss) on Rivian investment,$,"9,096",Unnamed: 1,$.1,"(7,377)"
Debt extinguishment premium,"(1,692)",nan,(135),nan,nan
AV strategy including Argo impairment (see Note 14),—,nan,"(2,812)",nan,nan
Ford Credit – Brazil restructuring (see Note 21),14,nan,(155),nan,nan
Russia suspension of operations/asset write-off,—,nan,(158),nan,nan
Patent matters related to prior calendar years,—,nan,(124),nan,nan
Other,82,nan,(35),nan,nan
Subtotal Other Items,$,"7,500",nan,$,"(10,796)"
