Market Share (%),1.8,Unnamed: 1,1.4,Unnamed: 3,Unnamed: 4,(0.4) ppts,Unnamed: 7
Wholesale Units (000) (a),315,nan,304.0,nan,nan,(11),nan
Revenue ($M),$,"8,955",nan,$,"9,810",nan,855.0
EBIT ($M),622,nan,628.0,nan,nan,6,nan
EBIT Margin (%),6.9,nan,6.4,nan,nan,(0.5) ppts,nan
