Unsecured,$,14,Unnamed: 1,$.1,5,Unnamed: 2,$.2,6,$ 10 - 13
Securitizations,13,nan,9.0,nan,nan,10.0,nan,10 - 13,nan
Total public,$,27.0,nan,$,14.0,nan,$,16,$ 20 - 26
