2023,$,0,$.1,"1,020",$.2,"1,020.1"
2024,nan,37,nan,648,nan,685
2025,nan,4,nan,35,nan,39
2026,nan,0,nan,35,nan,35
2027,nan,—,nan,25,nan,25
Thereafter,nan,3,nan,254,nan,257
Total,$,44,$,"2,017",$,"2,061"
