Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
nan,2022,nan,2021.0,nan,nan,2020.0,nan,nan
Risk-free interest rate,nan,3.11,nan,nan,0.66,nan,nan,0.26
Expected term (in years),nan,4.1,nan,nan,4.3,nan,nan,3.9
Expected volatility,nan,63.0,nan,nan,59.0,nan,nan,69.0
Dividend yield,nan,0.0,nan,nan,0.0,nan,nan,0.0
Grant date fair value per share (1),$,114.51,nan,$,128.02,nan,$,72.05
