Operating lease liabilities,$,"3,671",Unnamed: 0,$.1,"2,164"
Accrued warranty reserve,"3,606",nan,"2,480",nan,nan
Other non-current liabilities,876,nan,686,nan,nan
Total other long-term liabilities,$,"8,153",nan,$,"5,330"
