Purchase obligations,37,Unnamed: 0,22,Unnamed: 1,2,—,Unnamed: 3,61,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8
Total Ford Credit,"33,263",nan,"52,647",nan,"17,333","7,060",nan,"110,303",nan,nan,nan,nan
Total Company,$,"37,297",nan,$,"58,314",$,"25,364",nan,$,"31,309",$,"152,284"
