2024,$,"1,405",Unnamed: 0,$.1,227
2025,960,nan,214.0,nan,nan
2026,461,nan,210.0,nan,nan
2027,227,nan,102.0,nan,nan
2028,197,nan,25.0,nan,nan
Thereafter,"1,492",nan,2.0,nan,nan
Gross lease receivables,$,"4,742",nan,$,780.0
