Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24,Unnamed: 25
(Dollars in millions),2022,nan,nan,2021.0,nan,nan,2020,nan,$,nan,%,nan,$,nan,%,nan,nan,nan,nan
Interest expense,$,(191,),nan,$,(371,),$,(74,),$,180.0,nan,(4,),$,377.0,(50,)
