Unnamed: 0,Operating,Unnamed: 2,Sales-type,Unnamed: 4,Unnamed: 5
nan,Leases,nan,Leases,nan,nan
2023,$,"1,212",nan,$,202.0
2024,nan,900,nan,nan,208.0
2025,nan,463,nan,nan,192.0
2026,nan,215,nan,nan,174.0
2027,nan,194,nan,nan,49.0
Thereafter,nan,"1,697",nan,nan,12.0
Gross lease receivables,$,"4,681",nan,$,837.0
