Market Share (%),2.4,Unnamed: 1,2.1,Unnamed: 3,Unnamed: 4,(0.3) ppts,Unnamed: 7
Wholesale Units (000) (a),649,nan,495,nan,nan,(154),nan
Revenue ($M),$,"2,547",nan,$,"1,769",nan,(778)
EBIT ($M),(327),nan,(572),nan,nan,(245),nan
EBIT Margin (%),(12.8),nan,(32.3),nan,nan,(19.5) ppts,nan
