Deferred revenue— beginning of period,$,"2,913",Unnamed: 0,$.1,"2,382"
Additions,"1,201",nan,"1,178",nan,nan
Net changes in liability for pre-existing contracts,17,nan,(67),nan,nan
Revenue recognized,(595),nan,(580),nan,nan
Deferred revenue— end of period,$,"3,536",nan,$,"2,913"
