Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
nan,2022,nan,nan,2021.0,nan,nan,2020,nan,nan,nan
Accrued warranty—beginning of period,$,"2,101",nan,nan,$,"1,468",nan,$,"1,089",nan
Warranty costs incurred,nan,(803,),nan,nan,(525,),nan,(312,)
"Net changes in liability for pre-existing warranties, including expirations and foreign exchange impact",nan,522,nan,nan,nan,102,nan,nan,66,nan
Provision for warranty,nan,"1,685",nan,nan,nan,"1,056",nan,nan,625,nan
Accrued warranty—end of period,$,"3,505",nan,nan,$,"2,101",nan,$,"1,468",nan
