Net income attributable to common stockholders,$,"14,997",Unnamed: 0,$.1,"12,556",$.2,"5,519"
Less: Buy-out of noncontrolling interest,(2),nan,(27),nan,(5),nan,nan
Net income used in computing basic net income per share of common stock,"14,999",nan,"12,583",nan,"5,524",nan,nan
Less: Dilutive convertible debt,—,nan,(1),nan,(9),nan,nan
Net income used in computing diluted net income per share of common stock,$,"14,999",nan,$,"12,584",$,"5,533"
