Market Share (%),12.0,Unnamed: 1,12.5,Unnamed: 3,Unnamed: 4,0.5 ppts,Unnamed: 7
Wholesale Units (000),"2,006",,"2,335",,,328,
Revenue ($M),$,"87,783",,$,"108,727",,"20,944"
EBIT ($M),"7,377",,"9,176",,,"1,799",
EBIT Margin (%),8.4,,8.4,,,— ppts,
