Total Net Receivables ($B),$,118,Unnamed: 2,$.1,122,Unnamed: 3,Unnamed: 4,3,%
Loss-to-Receivables (bps) (a),6,,14,,,8,,,
Auction Values (b),$,"28,120",,$,"30,440",,,8.0,%
EBT ($M),"4,717",,"2,657",,,$,"(2,060",,
ROE (%),32,,16,,,(16) ppts,,,
