"Electric Vehicles61,57572,60871,41899,928"
"Hybrid Vehicles106,705133,743101,662146,249"
"Internal Combustion Vehicles1,696,1841,789,5611,839,2651,850,448"
"Total Vehicles1,864,4641,995,9122,012,3452,096,625"
