Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
,2022.0,,2021.0,,,2020.0,,,
Domestic,,"5,524",,$,(130,,$,(198,)
"Noncontrolling interest and redeemablenoncontrolling interest",,31,,,125,,,141,
Foreign,,"8,164",,,"6,348",,,"1,211",
Income before income taxes,,"13,719",,$,"6,343",,$,"1,154",
