Deferred revenue— beginning of period,$,"2,913",Unnamed: 0,$.1,"2,382"
Additions,"1,201",,"1,178",,
Net changes in liability for pre-existing contracts,17,,(67),,
Revenue recognized,(595),,(580),,
Deferred revenue— end of period,$,"3,536",,$,"2,913"
