Market Share (%),5.1,Unnamed: 1,5.0,%,Unnamed: 3,(0.1) ppts,Unnamed: 6
Wholesale Units (000),"3,942",,"4,231",,,289,
Revenue ($M),$,"126,150",,,"148,980",,"22,830"
EBIT ($M),"7,397",,"9,692",,,"2,295",
EBIT Margin (%),5.9,,6.5,%,,0.6 ppts,
